date,close,high,low,open
2016-07-05 00:00:00+00:00,208.41,209.08,207.71,208.95
2016-07-06 00:00:00+00:00,209.66,209.8,207.06,207.83
2016-07-07 00:00:00+00:00,209.526,210.6495,208.63,209.87
2016-07-08 00:00:00+00:00,212.65,212.94,210.7785,211.05
2016-07-11 00:00:00+00:00,213.4,214.07,212.95,213.19
2016-07-12 00:00:00+00:00,214.95,215.3,213.4308,214.53
2016-07-13 00:00:00+00:00,214.92,215.45,214.35,215.44
2016-07-14 00:00:00+00:00,216.12,216.67,215.66,216.4
2016-07-15 00:00:00+00:00,215.83,217.0125,215.308,216.78
2016-07-18 00:00:00+00:00,216.4092,216.6,215.67,215.97
2016-07-19 00:00:00+00:00,216.19,216.23,215.63,215.92
2016-07-20 00:00:00+00:00,217.085,217.37,216.24,216.75
2016-07-21 00:00:00+00:00,216.265,217.22,215.75,216.96
2016-07-22 00:00:00+00:00,217.24,217.3,216.1,216.41
2016-07-25 00:00:00+00:00,216.65,217.06,215.97,217.0
2016-07-26 00:00:00+00:00,216.75,217.17,215.76,216.53
2016-07-27 00:00:00+00:00,216.52,217.27,215.62,217.19
2016-07-28 00:00:00+00:00,216.77,217.11,215.75,216.29
2016-07-29 00:00:00+00:00,217.12,217.54,216.13,216.46
2016-08-01 00:00:00+00:00,216.94,217.65,216.405,217.19
2016-08-02 00:00:00+00:00,215.5492,216.83,214.57,216.65
2016-08-03 00:00:00+00:00,216.18,216.245,215.13,215.48
2016-08-04 00:00:00+00:00,216.4097,216.78,214.25,216.31
2016-08-05 00:00:00+00:00,218.18,218.23,217.07,217.21
2016-08-08 00:00:00+00:00,218.05,218.52,217.74,218.4
2016-08-09 00:00:00+00:00,218.18,218.76,217.8,218.13
2016-08-10 00:00:00+00:00,217.64,218.4038,217.23,218.31
2016-08-11 00:00:00+00:00,218.65,218.94,217.95,218.26
2016-08-12 00:00:00+00:00,218.46,218.71,217.99,218.29
2016-08-15 00:00:00+00:00,219.09,219.5,218.88,218.89
2016-08-16 00:00:00+00:00,217.96,218.68,217.96,218.6
2016-08-17 00:00:00+00:00,218.37,218.53,217.02,218.0
2016-08-18 00:00:00+00:00,218.86,218.9,218.21,218.34
2016-08-19 00:00:00+00:00,218.54,218.75,217.74,218.31
2016-08-22 00:00:00+00:00,218.53,218.8,217.83,218.26
2016-08-23 00:00:00+00:00,218.97,219.6,218.9,219.25
2016-08-24 00:00:00+00:00,217.85,218.91,217.36,218.8
2016-08-25 00:00:00+00:00,217.7,218.19,217.22,217.4
2016-08-26 00:00:00+00:00,217.29,219.12,216.25,217.92
2016-08-29 00:00:00+00:00,218.3608,218.665,217.4,217.44
2016-08-30 00:00:00+00:00,218.0,218.59,217.35,218.26
2016-08-31 00:00:00+00:00,217.38,217.75,216.465,217.61
